"id","name","description","extracted_words","cost","type","scaled_radius"
"178","Launchers&Cannisters.","Launchers&Cannisters.","Launchers","118490","subcontract",10
"180","Launchers&Cannisters.","Launchers&Cannisters.","Launchers","118490","subcontract",10
"193","NRE - Other, Titanium Plate.","NRE - Other, Titanium Plate.","Titanium","101361","subcontract",10
"194","NRE - Other, Titanium Plate.","NRE - Other, Titanium Plate.","Titanium","101361","subcontract",10
"195","Gears, Precision Machined.","Gears, Precision Machined.","Gears","100232","subcontract",10
"196","Gears, Precision Machined.","Gears, Precision Machined.","Gears","100232","subcontract",10
"216","Iron Batteries.","Iron Batteries.","Batteries","86583","subcontract",10
"218","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","Cable","84626","subcontract",10
"219","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","Cable","84626","subcontract",10
"242","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","Cable","70147","subcontract",10
"243","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","Cable","70147","subcontract",10
"250","Transmitters.","Transmitters.","Transmitters","66325","subcontract",10
"251","Transmitters.","Transmitters.","Transmitters","66325","subcontract",10
"277","Non-complex ShtMetal.","Non-complex ShtMetal.","Metal","54029","subcontract",10
"278","Non-complex ShtMetal.","Non-complex ShtMetal.","Metal","54029","subcontract",10
"284","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","Connector","50371","subcontract",10
"285","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","Connector","50371","subcontract",10
"293","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","Cable","49145","subcontract",10
"294","Fasteners & Hardware.","Fasteners & Hardware.","Fasteners","47883","subcontract",10
"295","Fasteners & Hardware.","Fasteners & Hardware.","Fasteners","47883","subcontract",10
"300","Shafts.","Shafts.","Shafts","46830","subcontract",10
"304","CableAssy&HarnMulti.","CableAssy&HarnMulti.","Cable","46428","subcontract",10
"305","GPS Receivers.","GPS Receivers.","Receivers","45100","subcontract",10
"306","GPS Receivers.","GPS Receivers.","Receivers","45100","subcontract",10
"312","Encoders.","Encoders.","Encoders","41145","subcontract",10
"313","Encoders.","Encoders.","Encoders","41145","subcontract",10
"314","Clamps, Washers.","Clamps, Washers.","Washers","40618","subcontract",10
"315","Clamps, Washers.","Clamps, Washers.","Washers","40618","subcontract",10
"316","Accelerometers, CableMulticonductor.","Accelerometers, CableMulticonductor.","Cable","40261","subcontract",10
"317","CableAssy&HarnMulti.","CableAssy&HarnMulti.","Cable","39096","subcontract",10
"323","Accelerometers, CableMulticonductor.","Accelerometers, CableMulticonductor.","Cable","33520","subcontract",10
"328","Encoders.","Encoders.","Encoders","31846","subcontract",10
"329","Encoders.","Encoders.","Encoders","31846","subcontract",10
"337","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","Cable","30940","subcontract",10
"338","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","Cable","30940","subcontract",10
"RAYTHEON COMPANY","RAYTHEON COMPANY","IGF::OT::IGF HYPERSONIC AIR-BREATHING WEAPON CONCEPT (HAWC) PHASE 2","","174746702","contractee",50
"A. P. I. INCORPORATED","A. P. I. INCORPORATED","A. P. I. INCORPORATED","","81236","subawardee",10
"ADVANCED THERMAL BATTERIES INC.","ADVANCED THERMAL BATTERIES INC.","ADVANCED THERMAL BATTERIES INC.","","273540","subawardee",10
"ALLCOMP INC.","ALLCOMP INC.","ALLCOMP INC.","","95766","subawardee",10
"AZMARK AERO SYSTEMS, LLC","AZMARK AERO SYSTEMS, LLC","AZMARK AERO SYSTEMS, LLC","","108058","subawardee",10
"BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.","BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.","BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.","","90200","subawardee",10
"CAID INDUSTRIES, INC","CAID INDUSTRIES, INC","CAID INDUSTRIES, INC","","397092","subawardee",10
"CICOIL, LLC","CICOIL, LLC","CICOIL, LLC","","61880","subawardee",10
"DUCOMMUN LABARGE TECHNOLOGIES, INC.","DUCOMMUN LABARGE TECHNOLOGIES, INC.","DUCOMMUN LABARGE TECHNOLOGIES, INC.","","1543581","subawardee",10
"DYNETICS TECHNICAL SOLUTIONS, INC.","DYNETICS TECHNICAL SOLUTIONS, INC.","DYNETICS TECHNICAL SOLUTIONS, INC.","","1568534","subawardee",10
"DYTRAN INSTRUMENTS INC.","DYTRAN INSTRUMENTS INC.","DYTRAN INSTRUMENTS INC.","","298446","subawardee",10
"EAGLEPICHER TECHNOLOGIES, LLC","EAGLEPICHER TECHNOLOGIES, LLC","EAGLEPICHER TECHNOLOGIES, LLC","","768051","subawardee",10
"EMOTEQ CORPORATION","EMOTEQ CORPORATION","EMOTEQ CORPORATION","","46830","subawardee",10
"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","","4712046","subawardee",11
"HERLEY INDUSTRIES, INC.","HERLEY INDUSTRIES, INC.","HERLEY INDUSTRIES, INC.","","418072","subawardee",10
"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","","1018098","subawardee",10
"KLUNE INDUSTRIES, INC.","KLUNE INDUSTRIES, INC.","KLUNE INDUSTRIES, INC.","","202722","subawardee",10
"L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.","","1932714","subawardee",10
"MARVIN ENGINEERING CO., INC.","MARVIN ENGINEERING CO., INC.","MARVIN ENGINEERING CO., INC.","","236980","subawardee",10
"PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","","4620636","subawardee",11
"PARKER-HANNIFIN CORPORATION","PARKER-HANNIFIN CORPORATION","PARKER-HANNIFIN CORPORATION","","1021567","subawardee",10
"PCB PIEZOTRONICS, INC.","PCB PIEZOTRONICS, INC.","PCB PIEZOTRONICS, INC.","","73781","subawardee",10
"PCC STRUCTURALS, INC.","PCC STRUCTURALS, INC.","PCC STRUCTURALS, INC.","","796038","subawardee",10
"QUASONIX, LLC","QUASONIX, LLC","QUASONIX, LLC","","132650","subawardee",10
"SOUTHERN GEAR & MACHINE, INC.","SOUTHERN GEAR & MACHINE, INC.","SOUTHERN GEAR & MACHINE, INC.","","200464","subawardee",10
