"id","name","description","cost","type","scaled_radius"
"187","Firm Fixed Price","Firm Fixed Price","106203","subcontract",10
"190","Firm Fixed Price","Firm Fixed Price","104537","subcontract",10
"197","NRE - Other.","NRE - Other.","99925","subcontract",10
"199","NRE - Other.","NRE - Other.","98553","subcontract",10
"202","NRE - Other.","NRE - Other.","91925","subcontract",10
"207","Firm Fixed Price","Firm Fixed Price","88913","subcontract",10
"208","Custom CCA's, NRE - Other.","Custom CCA's, NRE - Other.","88813","subcontract",10
"218","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","84626","subcontract",10
"219","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","84626","subcontract",10
"220","Firm Fixed Price","Firm Fixed Price","84134","subcontract",10
"226","Firm Fixed Price","Firm Fixed Price","78934","subcontract",10
"238","Custom CCA's.","Custom CCA's.","71967","subcontract",10
"242","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","70147","subcontract",10
"243","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","70147","subcontract",10
"257","Firm Fixed Price","Firm Fixed Price","64782","subcontract",10
"262","Firm Fixed Price","Firm Fixed Price","61933","subcontract",10
"268","Firm Fixed Price","Firm Fixed Price","58060","subcontract",10
"269","Firm Fixed Price","Firm Fixed Price","58060","subcontract",10
"284","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","50371","subcontract",10
"285","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","50371","subcontract",10
"293","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","49145","subcontract",10
"304","CableAssy&HarnMulti.","CableAssy&HarnMulti.","46428","subcontract",10
"317","CableAssy&HarnMulti.","CableAssy&HarnMulti.","39096","subcontract",10
"RAYTHEON COMPANY","RAYTHEON COMPANY","IGF::OT::IGF HYPERSONIC AIR-BREATHING WEAPON CONCEPT (HAWC) PHASE 2","174746702","contractee",23
"AEROJET ROCKETDYNE, INC.","AEROJET ROCKETDYNE, INC.","AEROJET ROCKETDYNE, INC.","5868546","subawardee",10
"ALLIANT TECHSYSTEMS OPERATIONS LLC","ALLIANT TECHSYSTEMS OPERATIONS LLC","ALLIANT TECHSYSTEMS OPERATIONS LLC","557162107","subawardee",50
"DUCOMMUN LABARGE TECHNOLOGIES, INC.","DUCOMMUN LABARGE TECHNOLOGIES, INC.","DUCOMMUN LABARGE TECHNOLOGIES, INC.","5229626","subawardee",10
"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","9999774","subawardee",11
"ORBITAL SCIENCES CORPORATION","ORBITAL SCIENCES CORPORATION","ORBITAL SCIENCES CORPORATION","9126915","subawardee",11
"ORBITAL SCIENCES LLC","ORBITAL SCIENCES LLC","ORBITAL SCIENCES LLC","7924969","subawardee",11
"PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","9941417","subawardee",11
"TRI MODELS, INC.","TRI MODELS, INC.","TRI MODELS, INC.","4994498","subawardee",10
